label,top,key_length,lut,ff,ldce
baseline_pre_xtime,aes_state,0,184918,406,1536
baseline_pre_xtime,aes,0,1668452,3840,128
post_xtime,aes_state,2,59710,534,2176
post_xtime,aes,0,380018,3840,128
pipeline_baseline,aes,0,380018,3840,128
post_cfa,aes_state,1,24512,470,1856
post_cfa,aes,2,192391,5248,256
post_fine_cg,aes_state,1,24568,470,1856
post_fine_cg,aes,2,196251,5287,256
baseline_pre_xtime,aes,1,1983022,4544,192
baseline_pre_xtime,aes,2,2397901,5248,256
baseline_pre_xtime,aes_state,1,193131,470,1856
post_xtime,aes_state,0,42181,406,1536
post_xtime,aes_state,1,49381,470,1856
post_xtime,aes,1,412970,4544,192
post_xtime,aes,2,538572,5248,256
pipeline_baseline,aes,1,412970,4544,192
pipeline_baseline,aes,2,539052,5248,256
post_cfa,aes_state,0,17484,406,1536
post_cfa,aes_state,2,35444,534,2176
post_cfa,aes,0,134289,3840,128
post_cfa,aes,1,115335,4544,192
post_fine_cg,aes_state,2,35228,534,2176
post_fine_cg,aes,0,136838,3874,128
post_fine_cg,aes,1,119403,4580,192
post_fine_cg,aes_state,0,17467,406,1536
baseline_pre_xtime,aes_state,2,202490,534,2176
post_unified_fsm,aes,2,198469,5287,256
post_unified_fsm,aes_state,2,33160,402,2176
post_unified_fsm,aes,0,136838,3874,128
post_unified_fsm,aes,1,119403,4580,192
post_unified_fsm,aes_state,0,15621,274,1536
post_unified_fsm,aes_state,1,22798,338,1856
